type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,temp_diff,power,rpm_torque_ratio,machine_failure,TWF,HDF,PWF,OSF,RNF
L,302.8,313.8,1628,40.7,57,10.97,6939.9,39.99,0,0,0,0,0,0
L,301.6,310.2,1421,39.3,231,8.6,5850.2,36.14,1,1,0,0,0,0
H,299.3,310.3,1462,46.1,29,10.96,7063.7,31.69,0,0,0,0,0,0
L,304.0,313.6,1450,35.3,210,9.65,5366.6,41.03,0,0,0,0,0,0
L,296.9,305.7,1567,43.7,46,8.77,7174.4,35.84,0,0,0,0,0,0
M,297.2,307.8,1628,38.3,234,10.58,6521.5,42.56,1,1,0,0,0,0
L,299.8,310.8,1493,38.9,143,10.93,6085.9,38.36,0,0,0,0,0,0
H,304.5,314.1,1341,31.8,47,9.56,4467.6,42.15,0,0,0,0,0,0
H,299.6,310.3,1652,37.8,211,10.72,6546.3,43.66,1,1,0,0,0,0
L,299.6,307.3,1506,34.6,97,7.71,5454.7,43.54,0,0,0,0,0,0
L,297.1,305.8,1211,51.3,183,8.68,6505.5,23.61,0,0,0,0,0,0
L,301.9,313.2,1072,23.2,160,11.29,2599.9,46.29,1,0,0,1,0,0
L,301.9,311.7,1559,48.9,178,9.78,7982.1,31.89,0,0,0,0,0,0
L,301.6,309.7,1334,22.6,85,8.14,3151.2,59.14,1,0,1,1,0,0
M,298.7,308.0,1586,45.4,234,9.3,7535.7,34.96,1,1,0,0,0,0
L,298.6,307.7,1344,31.6,139,9.08,4450.7,42.5,0,0,0,0,0,0
L,297.4,307.2,1526,45.7,19,9.83,7297.1,33.42,0,0,0,0,0,0
L,300.2,309.8,1424,38.8,16,9.63,5783.9,36.71,0,0,0,0,0,0
H,297.8,308.0,1850,25.7,184,10.18,4974.3,72.05,0,0,0,0,0,0
L,297.6,307.6,1690,53.6,212,9.93,9483.5,31.54,1,1,0,1,1,0
L,299.2,310.5,1769,47.8,173,11.36,8848.7,37.03,0,0,0,0,0,0
L,299.0,309.4,1504,45.0,69,10.42,7092.4,33.4,0,0,0,0,0,0
H,298.9,309.4,1664,33.6,56,10.46,5854.3,49.53,0,0,0,0,0,0
L,300.9,312.1,1518,48.1,141,11.17,7647.9,31.55,0,0,0,0,0,0
M,300.2,309.8,1793,27.2,49,9.61,5101.0,66.0,0,0,0,0,0,0
M,299.4,308.2,1485,17.7,94,8.74,2756.2,83.79,1,0,0,1,0,0
L,300.4,311.6,1220,24.4,157,11.21,3114.3,50.05,1,0,0,1,0,0
M,298.0,308.2,1100,30.8,71,10.14,3545.6,35.74,0,0,0,0,0,0
L,300.2,310.3,1833,32.5,93,10.14,6229.1,56.48,0,0,0,0,0,0
M,300.3,309.7,1595,35.7,90,9.37,5954.8,44.74,0,0,0,0,0,0
M,297.0,306.4,1608,36.1,115,9.38,6078.1,44.55,0,0,0,0,0,0
L,302.0,312.8,1797,33.5,168,10.85,6304.4,53.64,0,0,0,0,0,0
L,298.2,309.2,1169,18.8,195,10.98,2306.0,62.06,1,0,0,1,0,0
M,300.2,311.0,1428,41.9,166,10.78,6268.9,34.06,0,0,0,0,0,0
L,302.3,313.1,1452,37.4,6,10.79,5679.7,38.87,0,0,0,0,0,0
L,301.9,312.4,1648,33.0,224,10.57,5701.4,49.88,0,0,0,0,0,0
L,300.1,310.2,1361,54.0,145,10.13,7693.5,25.21,0,0,0,0,0,0
L,299.3,309.1,1259,37.6,230,9.82,4954.4,33.5,1,1,0,0,0,0
M,301.9,313.1,1257,40.6,240,11.21,5342.4,30.97,1,1,0,0,0,0
L,301.3,311.0,1729,48.0,116,9.63,8683.4,36.05,0,0,0,0,0,0
L,298.8,309.1,1351,25.1,229,10.37,3551.3,53.82,1,1,0,0,0,0
L,298.4,307.6,1389,39.8,91,9.2,5785.3,34.92,0,0,0,0,0,0
M,295.9,305.2,1626,47.9,65,9.34,8160.5,33.93,0,0,0,0,0,0
L,300.3,310.1,1360,39.1,18,9.76,5566.7,34.79,0,0,0,0,0,0
M,299.8,309.0,1159,27.0,112,9.2,3272.9,42.98,1,0,0,1,0,0
L,302.3,313.1,1183,35.2,172,10.8,4357.6,33.63,0,0,0,0,0,0
H,300.7,309.4,1488,41.9,244,8.65,6527.4,35.52,1,1,0,0,0,0
L,302.7,312.8,1599,18.9,130,10.1,3170.0,84.46,1,0,0,1,0,0
L,298.6,308.7,1459,26.5,183,10.13,4044.8,55.11,0,0,0,0,0,0
L,302.3,310.5,1586,59.7,224,8.19,9921.2,26.55,1,1,0,1,1,0
H,298.9,308.5,1177,44.8,135,9.56,5527.5,26.25,0,0,0,0,0,0
M,301.6,311.8,1190,54.8,41,10.26,6833.3,21.7,0,0,0,0,0,0
L,297.1,307.5,1950,48.7,212,10.43,9937.2,40.07,1,0,0,1,0,0
M,300.5,310.3,1746,43.9,143,9.8,8034.0,39.74,0,0,0,0,0,0
M,296.0,306.7,1653,36.9,189,10.68,6389.0,44.79,0,0,0,0,0,0
L,299.5,309.4,1368,43.8,164,9.89,6276.4,31.22,0,0,0,0,0,0
L,300.9,310.9,1452,54.5,15,10.01,8286.8,26.64,0,0,0,0,0,0
L,299.0,309.2,1499,48.3,42,10.25,7574.9,31.06,0,0,0,0,0,0
L,297.9,308.8,1762,41.7,71,10.93,7688.4,42.29,0,0,0,0,0,0
M,301.7,311.0,1580,38.3,71,9.32,6333.1,41.28,0,0,0,0,0,0
H,299.8,309.3,1605,45.0,209,9.51,7560.6,35.68,0,0,0,0,0,0
M,299.0,308.4,1466,34.7,149,9.33,5324.0,42.27,0,0,0,0,0,0
L,300.1,309.8,1658,45.0,20,9.67,7810.5,36.86,0,0,0,0,0,0
L,305.3,316.7,1560,33.0,96,11.43,5394.3,47.24,0,0,0,0,0,0
M,302.3,312.9,1508,36.5,139,10.57,5757.8,41.36,0,0,0,0,0,0
M,302.3,311.2,1351,29.7,62,8.87,4205.1,45.45,0,0,0,0,0,0
M,300.9,310.3,1477,35.6,9,9.4,5506.7,41.49,0,0,0,0,0,0
M,300.3,310.7,1284,33.2,95,10.37,4459.1,38.72,0,0,0,0,0,0
M,295.2,304.3,1491,56.9,115,9.09,8887.2,26.2,0,0,0,0,0,0
L,298.6,307.9,1517,31.1,226,9.27,4933.4,48.85,1,1,0,0,0,0
L,299.0,310.4,1019,43.8,227,11.34,4679.0,23.24,0,0,0,0,0,0
M,296.3,305.6,1453,30.5,125,9.39,4645.6,47.59,0,0,0,0,0,0
M,297.7,308.6,1264,40.5,117,10.95,5356.7,31.23,0,0,0,0,0,0
L,296.0,307.3,1599,42.9,160,11.26,7183.3,37.27,0,0,0,0,0,0
L,299.9,309.2,1627,21.5,64,9.27,3661.3,75.71,0,0,0,0,0,0
M,301.6,310.7,1414,26.0,71,9.11,3853.3,54.34,0,0,0,0,0,0
L,302.2,311.9,1609,30.5,0,9.72,5131.2,52.84,0,0,0,0,0,0
L,300.8,309.7,1618,27.0,19,8.91,4569.3,60.0,0,0,0,0,0,0
L,298.1,308.2,1454,40.8,44,10.12,6218.5,35.6,0,0,0,0,0,0
M,296.1,305.9,1806,42.4,160,9.79,8023.7,42.57,0,0,0,0,0,0
M,296.5,306.8,1354,29.4,53,10.36,4164.3,46.1,0,0,0,0,0,0
L,297.5,308.9,1794,41.2,31,11.4,7748.0,43.5,0,0,0,0,0,0
M,298.2,309.0,1454,35.8,154,10.82,5444.8,40.66,0,0,0,0,0,0
L,299.7,310.2,1331,39.0,162,10.49,5436.6,34.12,0,0,0,0,0,0
L,298.0,306.0,1429,33.7,14,8.03,5045.4,42.38,0,0,0,0,0,0
M,300.7,311.1,1280,44.9,193,10.44,6015.3,28.52,0,0,0,0,0,0
M,299.5,311.3,1656,56.3,151,11.72,9771.9,29.39,1,0,0,1,0,1
M,300.0,307.0,1179,47.7,99,6.99,5894.6,24.69,1,0,1,0,0,0
M,302.3,313.0,1777,53.9,245,10.69,10036.4,32.95,1,1,0,1,1,0
L,297.6,307.5,1312,26.0,2,9.84,3568.3,50.52,0,0,0,0,0,0
L,300.8,310.0,1667,33.2,136,9.15,5803.1,50.15,0,0,0,0,0,0
L,300.0,310.8,1504,45.7,39,10.8,7190.2,32.94,0,0,0,0,0,0
L,299.3,311.0,1554,55.1,82,11.71,8963.9,28.21,0,0,0,0,0,0
L,301.8,312.5,1381,46.5,33,10.78,6725.4,29.7,0,0,0,0,0,0
H,301.8,311.4,1570,29.7,167,9.63,4889.2,52.79,0,0,0,0,0,0
L,298.1,307.2,1526,35.7,100,9.06,5697.5,42.8,0,0,0,0,0,0
M,299.6,309.8,1208,43.3,246,10.14,5481.8,27.88,1,1,0,0,0,0
M,300.6,311.4,1307,38.4,163,10.87,5249.4,34.08,0,0,0,0,0,0
M,299.5,309.1,1391,32.0,229,9.61,4663.1,43.45,1,1,0,0,0,0
L,301.2,310.9,1349,37.1,60,9.71,5240.6,36.36,0,0,0,0,0,0
L,300.6,313.4,1750,39.9,79,12.82,7303.9,43.91,0,0,0,0,0,0
L,303.7,314.7,1501,29.2,90,11.08,4582.0,51.49,0,0,0,0,0,0
L,296.9,308.1,1344,49.8,209,11.15,7015.4,26.96,0,0,0,0,0,0
M,299.8,308.3,1401,35.6,52,8.54,5223.5,39.35,0,0,0,0,0,0
L,298.2,307.5,1399,39.3,236,9.29,5753.8,35.62,0,0,0,0,0,0
L,301.2,311.3,1442,50.4,10,10.07,7603.2,28.64,0,0,0,0,0,0
M,296.8,305.8,1284,38.8,222,9.0,5210.3,33.14,0,0,0,0,0,0
L,300.7,312.3,1337,49.8,112,11.6,6973.0,26.85,0,0,0,0,0,0
H,298.7,310.2,1653,29.7,131,11.41,5142.5,55.64,0,0,0,0,0,0
H,298.5,308.0,1537,44.3,249,9.47,7135.0,34.67,1,1,0,0,0,0
H,297.1,308.9,1469,48.4,217,11.78,7444.5,30.36,0,0,0,0,0,0
L,299.1,309.1,1500,31.7,226,10.0,4979.6,47.32,1,1,0,0,0,0
L,302.2,314.8,1490,38.2,146,12.59,5963.0,38.99,0,0,0,0,0,0
H,299.9,310.1,1458,38.4,239,10.14,5866.5,37.95,1,1,0,0,0,0
L,301.3,311.8,1603,42.1,171,10.58,7066.5,38.08,0,0,0,0,0,0
H,303.3,314.7,1588,44.7,204,11.4,7441.4,35.49,0,0,0,0,0,0
H,300.5,311.8,1185,30.9,180,11.28,3833.0,38.36,0,0,0,0,0,0
M,298.9,309.4,1473,39.4,195,10.51,6077.5,37.39,0,0,0,0,0,0
L,300.9,310.8,1198,55.9,159,9.86,7014.5,21.43,0,0,0,0,0,0
L,298.9,309.4,1627,50.5,181,10.51,8610.7,32.19,0,0,0,0,0,0
M,299.0,308.2,1653,47.9,108,9.18,8298.2,34.48,0,0,0,0,0,0
L,297.0,307.1,1377,38.1,176,10.15,5490.0,36.17,0,0,0,0,0,0
L,301.9,310.7,1476,61.3,69,8.89,9473.1,24.08,1,0,0,1,0,0
L,299.2,307.4,1077,50.3,158,8.22,5672.8,21.41,1,0,1,0,0,0
H,300.4,310.4,1694,40.4,130,10.05,7162.2,41.96,0,0,0,0,0,0
M,297.9,309.2,1641,42.2,224,11.26,7252.6,38.88,1,1,0,0,0,0
L,300.9,311.8,1730,35.4,168,10.93,6415.3,48.85,0,0,0,0,0,0
L,298.5,308.4,1797,43.9,149,9.92,8267.5,40.9,0,0,0,0,0,0
M,299.7,311.5,1255,45.9,78,11.75,6036.4,27.32,0,0,0,0,0,0
H,301.8,311.2,1677,47.0,215,9.43,8258.5,35.66,1,1,0,0,0,0
L,301.6,309.7,1795,38.2,13,8.08,7179.2,47.0,0,0,0,0,0,0
L,300.0,307.8,1201,25.3,224,7.82,3177.3,47.54,1,0,1,1,0,0
M,296.5,305.3,1465,42.4,163,8.82,6507.5,34.54,0,0,0,0,0,0
M,306.0,316.8,1427,47.1,47,10.82,7033.6,30.32,0,0,0,0,0,0
M,303.5,312.9,1671,30.2,225,9.37,5287.1,55.3,0,0,0,0,0,0
M,301.4,311.9,1021,39.1,81,10.46,4179.6,26.12,0,0,0,0,0,0
L,298.5,310.1,1863,53.4,42,11.65,10420.8,34.88,1,0,0,1,0,0
L,299.8,308.7,1477,28.0,79,8.9,4325.4,52.82,0,0,0,0,0,0
M,298.9,309.4,1683,37.2,240,10.48,6549.7,45.29,1,1,0,0,0,0
M,302.5,313.1,1487,54.9,188,10.54,8544.5,27.1,0,0,0,0,0,0
M,300.5,309.7,1598,41.6,229,9.14,6957.6,38.43,0,0,0,0,0,0
H,298.4,309.8,1035,34.7,74,11.35,3765.3,29.79,0,0,0,0,0,0
L,299.1,308.8,1423,39.9,20,9.71,5950.2,35.64,0,0,0,0,0,0
L,302.2,311.9,1669,48.3,140,9.62,8434.6,34.58,0,0,0,0,0,0
M,303.2,315.3,1557,38.0,120,12.11,6190.1,41.01,0,0,0,0,0,0
M,303.1,313.6,1172,46.0,180,10.52,5642.7,25.49,0,0,0,0,0,0
M,301.5,312.4,1512,42.3,135,10.93,6705.5,35.7,0,0,0,0,0,0
M,299.5,310.8,1336,43.2,99,11.35,6039.8,30.95,0,0,0,0,0,0
M,293.5,302.9,1318,46.6,1,9.35,6433.9,28.27,0,0,0,0,0,0
L,300.6,311.8,1195,37.1,116,11.25,4636.7,32.25,0,0,0,0,0,0
L,300.0,309.5,1623,30.6,30,9.5,5193.1,53.12,0,0,0,0,0,0
L,300.3,309.7,1722,44.7,230,9.46,8068.6,38.49,1,1,0,0,0,0
L,300.1,309.8,1924,38.7,230,9.73,7792.5,49.75,1,1,0,0,0,0
L,297.3,306.7,1205,35.5,200,9.38,4482.0,33.93,0,0,0,0,0,0
L,301.1,311.9,1653,45.3,39,10.82,7835.3,36.52,0,0,0,0,0,0
L,301.3,311.5,1666,52.8,36,10.27,9207.0,31.57,1,0,0,1,0,0
L,301.4,310.9,1383,38.5,140,9.51,5569.2,35.96,0,0,0,0,0,0
L,301.9,312.6,1316,40.1,181,10.67,5524.1,32.83,0,0,0,0,0,0
L,301.2,310.9,1282,28.2,226,9.72,3783.5,45.49,1,1,0,0,0,0
L,299.2,308.9,1394,37.8,223,9.67,5514.1,36.9,0,0,0,0,0,0
M,299.9,309.9,1540,42.2,38,10.05,6807.6,36.48,0,0,0,0,0,0
L,300.2,310.6,1772,39.8,248,10.46,7384.6,44.53,1,1,0,0,0,0
L,300.2,310.6,1721,36.4,39,10.39,6556.2,47.31,0,0,0,0,0,0
L,302.0,311.6,1176,47.3,210,9.64,5819.9,24.88,0,0,0,0,0,0
M,301.3,312.1,1342,40.6,146,10.85,5702.9,33.07,0,0,0,0,0,0
L,304.2,313.9,1759,65.9,169,9.78,12136.7,26.7,1,0,0,1,1,0
M,304.4,313.8,1353,42.1,150,9.35,5961.7,32.16,0,0,0,0,0,0
L,300.2,308.7,1488,12.5,217,8.53,1953.2,118.71,1,1,0,1,0,0
L,292.3,303.3,1158,28.9,159,10.98,3502.1,40.1,0,0,0,0,0,0
L,302.5,312.5,1730,45.3,212,10.01,8210.6,38.17,0,0,0,0,0,0
L,298.9,309.1,1117,33.6,38,10.21,3926.4,33.28,0,0,0,0,0,0
M,298.4,309.4,1171,34.2,216,11.05,4192.3,34.25,0,0,0,0,0,0
M,299.2,308.7,1710,27.6,248,9.52,4943.7,61.94,1,1,0,0,0,0
H,299.1,307.7,1884,35.2,165,8.63,6951.1,53.47,0,0,0,0,0,0
L,301.2,311.3,1441,41.9,244,10.07,6328.7,34.36,1,1,0,0,0,0
L,296.9,307.2,1490,43.9,54,10.31,6843.3,33.97,0,0,0,0,0,0
M,297.8,307.6,1681,29.8,207,9.74,5246.0,56.41,0,0,0,0,0,0
L,300.7,312.2,1557,48.1,42,11.47,7835.2,32.4,0,0,0,0,0,0
L,301.2,308.8,1425,28.1,128,7.51,4191.2,50.74,0,0,0,0,0,0
L,301.3,312.4,1402,44.4,166,11.12,6515.7,31.59,0,0,0,0,0,0
L,298.4,309.2,1186,43.4,165,10.79,5386.5,27.35,0,0,0,0,0,0
H,298.0,308.5,1546,30.7,167,10.46,4963.2,50.43,0,0,0,0,0,0
